variant,p,d,q,P,D,Q,m,aic,bic,llf,fit_seconds,ok,error
no_exog,3,1,1,2,1,1,7,19069.503017208634,19113.781118464933,-9526.751508604317,3.6893200874328613,True,
no_exog,3,1,1,2,1,2,7,19070.14794115467,19119.96080506801,-9526.073970577336,4.410696983337402,True,
no_exog,3,1,2,0,1,0,7,20241.836177260935,20275.089458040096,-10114.918088630468,1.3585190773010254,True,
no_exog,3,1,2,0,1,1,7,19456.342858100907,19495.1123230968,-9721.171429050453,3.535160779953003,True,
no_exog,3,1,2,0,1,2,7,19379.007167737895,19423.285268994194,-9681.503583868947,8.583436012268066,True,
no_exog,3,1,2,1,1,0,7,19741.42300344499,19780.192468440884,-9863.711501722495,2.812579870223999,True,
no_exog,3,1,2,1,1,1,7,19198.035052419415,19242.343012414723,-9591.017526209707,2.749232292175293,True,
no_exog,3,1,2,1,1,2,7,19399.471229142924,19449.284093056263,-9690.735614571462,7.750814914703369,True,
no_exog,3,1,2,2,1,0,7,19601.3602517639,19645.6383530202,-9792.68012588195,6.461436986923218,True,
no_exog,3,1,2,2,1,1,7,19479.21377115427,19529.02663506761,-9730.606885577135,7.530309200286865,True,
no_exog,3,1,2,2,1,2,7,19403.366632602694,19458.71425917307,-9691.683316301347,8.123720407485962,True,
no_exog,3,1,3,0,1,0,7,20287.702527715992,20326.494309415168,-10136.851263857996,1.2226760387420654,True,
no_exog,3,1,3,0,1,1,7,19228.74329221892,19273.046993497064,-9606.37164610946,4.9897871017456055,True,
no_exog,3,1,3,0,1,2,7,19201.08892881029,19250.89698374676,-9591.544464405146,9.53125,True,
no_exog,3,1,3,1,1,0,7,19706.000378883888,19750.308338879197,-9845.000189441944,3.3176608085632324,True,
no_exog,3,1,3,1,1,1,7,19132.88203382524,19182.723697763155,-9557.44101691262,3.943763017654419,True,
no_exog,3,1,3,1,1,2,7,19068.210603101023,19123.552886363763,-9524.105301550511,7.8461527824401855,True,
no_exog,3,1,3,2,1,0,7,19521.849984662666,19571.662848576005,-9751.924992331333,6.9683918952941895,True,
no_exog,3,1,3,2,1,1,7,19079.268064867825,19134.6156914382,-9529.634032433913,7.958217144012451,True,
no_exog,3,1,3,2,1,2,7,19069.554683862705,19130.43119545172,-9523.777341931353,9.116650104522705,True,
no_exog,3,1,4,0,1,0,7,20076.901433877796,20121.230653518887,-10030.450716938898,2.407569169998169,True,
no_exog,3,1,4,0,1,1,7,19098.13233930764,19147.96920963692,-9540.06616965382,3.558411121368408,True,
no_exog,3,1,4,0,1,2,7,19035.166910836244,19090.50384793473,-9507.583455418122,9.816143989562988,True,
no_exog,3,1,4,1,1,0,7,19749.16933002649,19799.01578502121,-9865.584665013244,3.7725329399108887,True,
no_exog,3,1,4,1,1,1,7,19210.908323428444,19266.282623794308,-9595.454161714222,4.316967964172363,True,
no_exog,3,1,4,1,1,2,7,19042.365987658337,19103.23661846667,-9510.182993829168,13.031432867050171,True,
no_exog,3,1,4,2,1,0,7,19449.746985201553,19505.09461177193,-9714.873492600776,8.285989999771118,True,
no_exog,3,1,4,2,1,1,7,19157.380985644533,19218.263374871945,-9567.690492822267,10.232899188995361,True,
no_exog,3,1,4,2,1,2,7,19037.640629540496,19104.044954058678,-9506.820314770248,11.6822669506073,True,
no_exog,4,1,0,0,1,0,7,20575.710626706543,20603.419042205955,-10282.855313353271,0.03993391990661621,True,
no_exog,4,1,0,0,1,1,7,19348.10991750376,19381.347270479568,-9668.05495875188,0.7647039890289307,True,
no_exog,4,1,0,0,1,2,7,19281.609387853852,19320.36020109344,-9633.804693926926,2.263967990875244,True,
no_exog,4,1,0,1,1,0,7,19970.137346524494,20003.365122483105,-9979.068673262247,0.43128514289855957,True,
no_exog,4,1,0,1,1,1,7,19320.680431686593,19359.44617030497,-9653.340215843296,1.3895831108093262,True,
no_exog,4,1,0,1,1,2,7,19283.068525458497,19327.355169160885,-9633.534262729248,3.4541969299316406,True,
no_exog,4,1,0,2,1,0,7,19667.46448540444,19706.20408368836,-9826.73224270222,0.8052010536193848,True,
no_exog,4,1,0,2,1,1,7,19254.496012064577,19298.76983867477,-9619.248006032289,3.4792399406433105,True,
no_exog,4,1,0,2,1,2,7,19255.85442935938,19305.662484295848,-9618.92721467969,3.17539381980896,True,
no_exog,4,1,1,0,1,0,7,20276.682975111882,20309.933073711174,-10132.341487555941,0.9772608280181885,True,
no_exog,4,1,1,0,1,1,7,19141.109902190597,19179.883091581367,-9563.554951095299,1.9565999507904053,True,
no_exog,4,1,1,0,1,2,7,19074.126369192498,19118.40874281205,-9529.063184596249,3.6125943660736084,True,
no_exog,4,1,1,1,1,0,7,19702.226591255763,19740.99232987414,-9844.113295627882,2.1169381141662598,True,
no_exog,4,1,1,1,1,1,7,19122.651439983725,19166.95514126187,-9553.325719991863,2.491400957107544,True,
no_exog,4,1,1,1,1,2,7,19075.387973408062,19125.20564373006,-9528.693986704031,3.770620822906494,True,
no_exog,4,1,1,2,1,0,7,19422.708167440025,19466.981994050217,-9703.354083720013,5.172839879989624,True,
